Genenames,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
A0A0G2JRQ6,28.8945,27.9539,27.1604,23.6649,27.8504,27.5969,26.6458,29.0839,27.3549,25.5404,26.4266,26.6595,27.3992,26.7517,26.7739,27.6931,29.1795,26.515,26.8623,27.2979,27.2803,29.3971,27.217,26.673,25.9439,26.673,28.1361,27.7895,23.6468,27.7771,26.7771,26.6181,26.4809,27.5969,28.7357,27.141,27.5898,27.4154,26.9977,27.2077
A0A0X9T0H6,30.196,30.1361,31.2365,31.2479,31.3033,31.196,31.1724,31.6066,30.3303,31.2193,31.1483,31.1422,31.4727,31.8901,31.1783,30.5573,32.1208,31.4581,29.8422,31.5754,31.9712,32.4159,29.9814,31.5062,31.4775,30.9882,31.1783,31.13,30.7211,31.1783,31.2308,30.5664,31.6544,31.6798,32.3276,30.5203,31.5618,31.978,31.6154,32.015
A0A0X9T7T4,27.604,26.8564,27.4473,27.0813,26.5754,27.2077,27.2353,26.8504,26.9977,25.6676,27.611,26.1776,25.9271,26.5345,26.8264,26.2408,26.7645,27.4154,27.5898,27.0296,26.4394,26.4122,26.8385,27.0401,27.8916,26.3256,27.3239,26.357,25.1293,26.2481,27.189,25.002,27.4785,26.189,26.8741,27.6865,26.7517,26.9088,27.3066,27.1115
A0A0X9T7V9,30.2647,29.8294,29.7129,31.5109,31.1483,30.7292,30.4629,30.7613,30.4532,30.2647,30.3196,30.1361,30.4629,30.2422,30.3088,28.7389,30.2759,30.8385,30.9539,30.2759,28.8142,30.6022,29.5862,30.5573,28.9869,30.2308,30.4134,30.2535,29.6093,29.8653,31.2979,29.2445,30.099,28.9977,30.9539,30.5664,30.5389,30.6713,30.5933,30.6198
A0A0X9TD47,21.2751,29.795,30.2422,29.4093,30.0737,29.916,29.9936,30.4727,29.9814,29.3641,29.5536,28.8096,29.6663,29.5444,29.846,29.2123,29.2353,30.0609,30.3879,30.3828,30.6022,28.9231,30.6881,30.0864,28.7988,30.2924,30.1842,29.104,28.6964,29.7309,29.9746,28.9484,29.8065,30.3033,29.8226,30.3303,29.7227,30.3961,29.8377,29.8974
A0A0X9UWL5,32.2019,31.9259,31.9712,31.94,32.3515,32.2507,32.2077,32.1422,32.3463,31.4083,32.0512,31.7652,31.9983,32.0576,32.225,31.1177,32.3905,32.4678,31.9188,32.1783,32.4799,32.0641,32.4083,32.0705,32.0349,32.0017,31.7652,32.0927,31.6713,32.2193,31.9539,31.7413,32.6522,32.525,32.6629,33.0017,31.947,32.2675,32.7474,32.6985
A0A0X9UWM4,28.6389,28.1507,28.217,28.5754,28.7195,28.1507,28.1164,28.3023,28.5389,27.217,27.8741,28.0453,28.217,28.579,27.7389,27.3153,28.6005,28.5128,28.0505,28.2353,27.965,28.9428,27.3992,28.5933,28.8623,27.7958,28.3109,27.8974,28.2262,27.7833,28.7676,28.4938,28.3662,28.6492,29.3828,28.4154,28.189,29.0479,28.3324,28.8504
A0A0X9V9B3,28.8901,28.7708,27.8445,29.5718,29.3473,30.1239,28.5718,28.7113,28.805,28.8988,28.8564,28.5518,28.459,29.066,28.9553,28.141,28.9553,29.3131,29.2781,28.7421,30.1361,28.9259,28.9131,29.5389,27.9539,28.7988,28.104,29.1795,28.7195,29.3378,28.9344,28.2957,28.8829,29.0017,29.995,29.8035,28.5315,29.3683,29.1239,29.8711
A0A109PVK5,26.8974,26.3861,25.4079,26.632,25.7441,25.8167,25.7581,26.3959,25.9338,24.0443,20.8448,26.1594,26.1623,26.1469,25.5696,25.4676,26.204,26.1527,24.8433,25.1527,26.0411,26.611,26.1194,26.1293,24.7745,21.1185,25.5135,26.5522,25.7695,23.7405,26.2363,21.7619,18.7408,26.509,26.4425,26.4999,26.5536,25.9282,25.8599,27.8887
A0A120HG46,31.4234,30.6198,31.196,30.6881,31.6022,31.3568,30.8004,31.1115,31.1422,30.5343,31.0737,30.2619,29.8653,30.947,30.3515,29.6415,30.8004,30.7533,30.8645,31.0217,31.4483,30.933,30.8937,30.4334,31.1208,30.8755,30.3303,30.7731,30.5618,30.947,30.9677,31.7211,31.3828,32.2786,31.2479,31.4184,31.5844,31.5844,30.7047,31.4384
A0A125QYY9,30.2869,30.2308,29.312,29.8901,29.8608,29.4707,28.8974,29.9677,30.3515,28.49,29.6058,29.2891,29.1532,29.0164,30.099,29.0762,29.1747,29.8945,29.94,29.4765,25.7871,30.2422,30.5754,30.3088,29.7973,29.604,29.3599,29.94,29.4649,30.0084,30.1239,28.258,30.6544,29.8667,30.0084,30.3724,29.6865,30.0864,30.6964,30.6022
A0A125U0U6,26.1234,19.8265,25.7556,21.1795,25.6499,25.7568,25.4073,23.3778,26.726,25.2679,25.5165,24.8528,24.9955,26.0212,25.8564,24.976,24.0975,25.4282,26.5653,24.5783,25.8764,26.3005,21.7484,26.2714,25.8647,26.6181,25.0317,25.3745,25.4567,25.9383,26.4041,24.3031,25.4394,21.6121,25.4536,24.976,26.228,25.9912,25.4186,26.1918
A0A125U0V1,27.7958,27.6798,27.3324,25.5551,27.8142,26.9203,28.0296,27.9595,27.632,28.6005,27.579,27.9567,27.5609,27.2891,27.6527,26.9088,27.2979,27.9595,27.7958,27.4629,26.9977,28.5718,26.8858,28.2647,28.0557,27.1214,27.2891,27.3239,27.7581,27.3828,27.7129,25.9672,28.4194,27.5898,28.6389,26.9705,27.4073,28.673,28.0084,27.5826
A0A193CHQ9,30.684,30.94,30.4134,30.7292,30.7047,30.6285,31.525,31.0349,30.6458,30.4823,30.4334,30.3303,31.3196,31.13,31.2193,30.0217,31.3515,31.2535,31.1901,30.6881,31.5799,31.5799,31.4433,31.8252,30.995,30.1646,30.7533,31.3033,30.5203,30.5573,31.6756,29.788,31.5203,30.4727,31.6022,30.8234,30.9609,31.341,32.0958,31.8534
A0A1B1CYC5,30.393,29.1164,29.6458,29.3282,30.196,30.2979,21.0402,29.1312,28.8203,30.1239,22.1436,29.8142,21.5637,30.5389,29.2891,20.947,29.3324,21.7375,21.5423,30.4532,29.2714,29.8324,30.362,29.0111,20.8758,28.7453,29.9117,29.9814,29.0427,29.7421,30.196,29.3174,29.49,28.7549,30.4727,28.9977,29.2869,29.2847,19.9719,29.0762
A0A1C9J6R5,26.1585,23.2821,21.0213,25.5983,20.3314,20.072,23.7995,24.2463,23.5754,21.0758,19.8546,25.3494,25.2856,22.5002,25.3066,21.1736,21.197,26.5411,24.3745,25.8348,20.634,28.1263,20.7275,24.8927,25.3511,23.9279,26.6181,24.6153,23.5729,23.9134,25.5522,20.4374,20.6293,22.5754,25.1565,26.5754,24.0502,25.3342,26.4892,25.8445
A0A1L2BU38,26.8623,26.4946,26.2243,27.6595,27.4668,27.9372,26.8385,27.3662,27.0813,26.632,26.5565,26.0084,26.8869,27.7064,27.1842,25.4234,27.9539,26.8203,26.3324,26.0105,26.3247,28.0505,28.1459,26.2002,25.3393,26.317,26.2909,27.5969,27.3494,27.5898,27.2399,24.6375,27.604,26.5195,27.0609,27.2353,27.2847,27.1604,28.6865,25.2463
A0N5G3,26.4938,25.83,26.2353,24.7796,25.6971,24.6375,21.2749,26.566,26.2463,19.5804,24.9495,24.7745,23.654,25.8811,26.1984,25.9383,26.0296,25.9517,24.1253,25.8823,26.2517,27.2445,25.8576,27.5536,25.9248,24.391,21.9591,23.4481,20.3081,19.9258,25.8927,24.6012,26.0995,20.991,23.1279,25.8564,25.6348,23.417,22.8897,26.3477
A0N7J6,26.4488,26.2381,20.1491,20.0586,26.6595,26.8623,26.2785,26.3452,26.5725,26.726,20.9667,25.5522,19.351,19.6024,25.7103,20.0517,24.976,26.6865,26.5448,26.317,26.1927,26.4138,21.8547,26.8385,26.726,26.6458,26.2499,24.5165,25.7945,19.4588,27.5754,21.0915,22.2907,21.873,21.1007,21.0736,21.6639,20.5673,25.2243,26.8142
A1BG,33.5754,33.4334,33.7849,33.7751,33.6735,33.7849,33.7453,33.3303,33.4458,33.6944,33.7751,33.5412,33.8974,33.5978,33.7453,33.7849,33.7047,33.7353,33.7252,33.8042,33.4943,33.6735,33.3033,33.715,33.7553,33.4334,33.6198,33.4943,33.8042,33.5527,32.8553,34.0101,34.0592,33.6198,33.8883,33.7353,32.7231,33.4334,34.3436,33.8974
