TDGF1
LOC102724428
FST
CEBPD
GADD45G
DEPP1
SLC25A25
KLF6
TSC22D3
DUSP1
PHLDA1
MAFF
CXCL2
NR4A1
CCN1
IL1RN
INHBB
JUNB
JUND
RHOB
MYC
GADD45B
NNMT
NR4A2
ANGPTL4
RASD1
VNN3P
TCIM
RGS16
CSRNP1
ZFP36
IRS2
SOCS3
RBPMS
EPO
SGK2
NDRG1
CPT1A
PLEKHA7
ABLIM3
ITGB7
ARNTL
NFIL3
NPAS2
CSAD
APBB1IP
SLC1A4
TPX2
IRAK2
KCNK1
AVPR1A
BACH2
POLR1E
ZFAND5
GLUL
SLC13A3
CXCL14
LBP
RHOBTB3
YPEL2
SAMD5
TCAF1
ITIH2
ACSL5
DUSP16
ENTPD5
CYP1A2
CYP2C19
APOL5
CYP2J2
DIO1
PPP1R3C
PECR
LPCAT3
SLC17A2
CNPY3
FAXDC2
ALDH1L1
CFHR4
PDIA5
SLC38A3
CHAD
SLC7A9
HOGA1
IZUMO4
LRG1
ART5
ZNF511
SFXN2
SERPINA3
BTBD11
TPPP2
CP
CPN1
CPN2
TCP10L
GLT1D1
IGSF23
CIART
CTPS1
METTL27
CYP2E1
CYP4A11
FAAH2
CYP27A1
DDC
DNM1
AHCY
EFNA1
METTL7B
KRTCAP3
SLC51A
CENPV
EMP2
EPHX2
F2
ALDH2
FGA
FGB
FGG
FGL1
HAAO
SEC14L2
CLDN14
CA14
SSBP3
ALPL
SLC37A4
SERPINA11
FAM149A
GC
GCDH
GJB1
GNMT
GPR162
GOT1
ANG
SLC13A5
CYP4A22
SLC25A34
GRB7
KLF15
SLC43A3
GSTM4
GSTZ1
PACSIN3
CERS2
SERPIND1
HMGCS2
APOF
HP
HPR
HSD17B2
FAM151A
ICAM3
ESPNL
AQP3
ITIH1
ITIH3
ITIH4
MROH7
ARL4D
KNG1
SPDYC
TRABD2B
C1orf226
MAOB
MAT1A
MOCS1
HSBP1L1
ASS1
MT1A
MT1E
MT1F
MT1G
MT1H
MT1M
MT1X
MT2A
SERPINC1
NAGA
SERPINA5
PCK2
PLLP
ADIPOR1
SERPINA10
HSD17B14
HAO2
PCOLCE
PIPOX
C1RL
SCLY
PDK2
PER1
PGM1
SERPINA1
SERPINA4
HAUS4
PPP1R1A
TTC38
ETNK2
STEAP3
SLC47A1
TBC1D2
TMCO6
PIGV
BAIAP2L1
AZGP1
CHST7
NDRG2
HAMP
CYP4F11
PEX19
PXMP2
CFB
CDH23
SMOC1
PPP1R3G
AGXT2
SLC6A12
SLC10A1
SLC16A2
SLC34A1
SLC20A2
SLC22A1
CYP4F12
SULT1A2
SULT1A1
BTD
TCEA3
TEF
TMBIM6
SERPING1
C1R
C1S
C2
C4BPA
TTR
C6
