DTX1
EPHA2
FAM171A1
PLEKHA4
RAP1GAP
ADAM19
CYP7A1
PEG10
PRKCE
PLN
CDHR2
CDKN1A
IP6K3
PLIN2
ALDH3A1
FMO1
FGF21
SDCBP2
PRAMEF10
JUN
COL5A3
SERPINE1
PLP2
ACKR3
CIDEC
PRAMEF33
CA12
FCAMR
TP53I3
CD24
CDH6
IGLL5
AP1M2
USH1C
CYP3A7.CYP3A51P
CDH11
PDZK1IP1
CHST4
LHFPL6
RCAN2
CNKSR1
ABCC4
LAMC3
B3GNT3
IRAG1
TRIM22
MYL9
WFDC2
SPON1
SEMA3C
FBLN5
UBD
PROCR
SLC34A2
SCGN
SPINT2
NES
PLK2
CFTR
ADAM28
KDELR3
STON1
STMN2
CHI3L1
FSTL1
TREH
INMT
CHEK2
HPS5
FILIP1L
TRIM9
C1QTNF7
ACSM1
NIBAN1
CPXM2
TMEM45B
TC2N
HSPB6
CNN1
SLC44A3
PODN
COL1A1
COL1A2
COL3A1
COL4A1
TMEM125
COL4A4
TRABD2A
COL6A3
COL12A1
COL15A1
COL16A1
SPATA18
COX7A1
CPA3
CLDN4
CLDN7
PWWP3B
CRIP1
LAYN
PRICKLE1
VCAN
ANKRD29
APCDD1
TMC4
CCN2
ADRA2A
CTSG
CTSK
CCDC80
CYP3A7
RASEF
SLC35G1
CLEC14A
TMEM92
DCN
DDB2
AEBP1
RASSF6
SYNPO2
NQO1
DPT
DPYSL2
DPYSL3
JAG1
DTNA
LPAR1
EDN2
CYS1
PLPP4
A2M
CFAP221
EMP1
ERICH5
EPHA3
ESRRG
ETV4
EVC
MECOM
F2RL1
F3
F13A1
FABP4
FAP
FBLN1
FAT1
ALDH1A3
FBN1
EFEMP1
FCER1A
ELAPOR2
GPC4
FHL2
FKBP1B
HSPA4L
PALLD
PDZRN3
NFASC
SULF1
FMO2
FMOD
VSIG2
PHLDA3
FLRT2
FRZB
MSRB3
NPNT
GABRB3
GABRP
LMOD1
BAMBI
PARM1
CHRDL2
ABI3BP
NALCN
KRT23
MOXD1
EHF
HSPB8
HEYL
GEM
SH3YL1
GJA1
GJA5
BBC3
DKK3
GPC3
SULT1C4
SESN1
PDLIM3
NPBWR1
OLFML1
ANGPT1
CAVIN1
ALKAL2
ANK2
GPX2
ANK3
RGCC
CXCL1
GSN
LMCD1
ANXA1
ANXA2
ANXA3
ANXA4
NRG1
ANXA13
HSPA2
HSPB2
TMEM119
ID4
SLC6A19
FREM2
PLCXD3
APOD
IGFBP6
IGFBP7
JCHAIN
CXCL8
AQP1
AQP4
CXCL10
ITGA3
KCNJ16
KRT7
C12orf75
KRT19
TRNP1
LAMA2
LAMB1
LCN2
LDHB
LGALS2
LGALS3
LOX
LOXL1
LTBP2
LUM
TACSTD2
TM4SF1
EPCAM
MAP1B
MCAM
MFAP2
MFAP4
MFGE8
MGP
CXCL9
MMP2
MMP7
ANKRD65
MUC6
MYH11
NDN
NOTCH3
FXYD2
NPR3
NTRK2
NTS
GPX8
TYMSOS
OMD
OGN
CLDN11
OXCT1
PBX1
TCEAL9
MZB1
GOLM1
GCNT4
ARMCX1
TNFRSF12A
DACT1
PDE1A
DCDC2
PDGFRA
TPPP3
ENPP2
GPRC5B
TUBA8
SERPINE2
PKHD1
PLAT
PLAU
PMP22
FAM3B
CLIC6
PODXL
TREM2
PAQR5
TESC
LRRC1
KIRREL1
TMEM100
MNS1
LAPTM4B
PRELP
MCTP2
DOK5
BEX1
DBNDD2
PRKG1
SULF2
PRSS3
TCEAL7
SEMA3G
LXN
PMEPA1
AKR1B10
RAB25
LDAF1
PTGDS
S100A14
GRAMD1B
PTK7
PTN
PTPN13
PLEKHB1
ACTA2
ENPP5
ACE2
CCND1
RGS4
EDA2R
RRAD
SORT1
S100A6
S100A13
SCN7A
SCTR
CCL2
CCL19
CCL20
CCL21
CXCL6
CLSTN2
SMOC2
EPB41L4A
SFRP4
SFRP5
ZMAT3
SGCD
SMIM10
TPSB2
TMPRSS3
AEN
SLC5A1
ANXA8
SLC12A2
SLCO2A1
SLIT3
RASL11B
SNAP25
SOD3
SOX4
SOX9
SPINT1
SPP1
SULT1C2
TAGLN
TBX15
THBS1
THBS2
THY1
TIMP3
TPM1
TPSAB1
ANXA8L1
METTL24
C7
UCHL1
COL14A1
VIM
VWF
CA9
TUBA1A
PRR15L
BHLHE41
VEPH1
VTCN1
RERGL
NIPAL2
CCDC102B
CYBRD1
TUSC3
SVEP1
ELOVL7
BICC1
HKDC1
PDGFD
SSPN
LBH
CAPG
CAPN2
FZD7
GLT8D2
PLVAP
CHST9
AIF1L
CCDC3
JAM3
CRISPLD2
B3GNT5
SPARCL1
SRPX
ANTXR1
LOXL4
SLC49A3
ECRG4
BEX2
PYROXD2
C1orf198
RERG
KCNAB2
YBX3
CPZ
CAV1
PLPP2
B3GALNT1
MYOM1
CBR3
CCN5
PROM1
TRIM15
CH25H
CLDN10
CD1E
NEXN
CHRDL1
IL32
SPECC1
CD9
ADGRG1
DMKN
SLIT2
ITGBL1
ITM2A
CD34
ADAMTS1
GDF15
SCRN1
ARMCX2
HEPH
SYNGR1
ANXA2R
NAALADL1
C8orf88
EDIL3
TSPAN5
TSPAN2
CDH13
LRRC17
SPRY1
CDKN2A
SPEG
CDR1
CORO2B
CIB2
MAB21L2
CDC42EP3
PDPN
LEFTY1
MMP24
MTMR11
KLK11
PIM2
RCAN3
FAM107A
RNF24
GPR176
TMEM200A
C1QTNF2
CTHRC1
HSPA12B
CMA1
ERP27
ZG16B
PLK3
CNTN1
COL4A3
COL4A5
COL8A1
COL8A2
COL10A1
PLEKHH2
SGPP2
LYPD6B
EVC2
TMEM171
CRMP1
ZFP28
PIWIL4
HAPLN3
CSPG4
C16orf89
CCBE1
SPACA6
CTF1
PHETA2
CTSE
MB21D2
SHISA3
